indicator,indicator_description,indicator_source,demographic,demographic_description,time_description,time_period,value_description,value,term_description,upper_term,lower_term
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2014-2015,Survival rate,0.100991,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2016-2017,Survival rate,0.123118,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2018-2019,Survival rate,0.138533,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Pancreas,Cancer type,Pair year,2020-2021,Survival rate,0.127258,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,1998-1999,Survival rate,0.123437,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2000-2001,Survival rate,0.134156,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2002-2003,Survival rate,0.124799,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2004-2005,Survival rate,0.127807,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2006-2007,Survival rate,0.135962,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2008-2009,Survival rate,0.13384,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2010-2011,Survival rate,0.149673,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2012-2013,Survival rate,0.163306,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2014-2015,Survival rate,0.17802,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2016-2017,Survival rate,0.191736,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2018-2019,Survival rate,0.215492,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Lung,Cancer type,Pair year,2020-2021,Survival rate,0.228664,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,1998-1999,Survival rate,0.91305,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2000-2001,Survival rate,0.877127,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2002-2003,Survival rate,0.884991,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2004-2005,Survival rate,0.896033,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2006-2007,Survival rate,0.888943,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2008-2009,Survival rate,0.894101,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2010-2011,Survival rate,0.887204,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2012-2013,Survival rate,0.913171,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2014-2015,Survival rate,0.897079,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2016-2017,Survival rate,0.91185,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2018-2019,Survival rate,0.916994,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Melanoma,Cancer type,Pair year,2020-2021,Survival rate,0.937335,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,1998-1999,Survival rate,0.810946,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2000-2001,Survival rate,0.82654,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2002-2003,Survival rate,0.838198,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2004-2005,Survival rate,0.884889,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2006-2007,Survival rate,0.883948,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2008-2009,Survival rate,0.888597,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2010-2011,Survival rate,0.89458,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2012-2013,Survival rate,0.910439,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2014-2015,Survival rate,0.90315,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2016-2017,Survival rate,0.924924,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2018-2019,Survival rate,0.919812,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Prostate,Cancer type,Pair year,2020-2021,Survival rate,0.930497,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,1998-1999,Survival rate,0.556398,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2000-2001,Survival rate,0.571235,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2002-2003,Survival rate,0.541837,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2004-2005,Survival rate,0.582789,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2006-2007,Survival rate,0.611833,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2008-2009,Survival rate,0.6276,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2010-2011,Survival rate,0.592286,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2012-2013,Survival rate,0.643901,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2014-2015,Survival rate,0.637786,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2016-2017,Survival rate,0.663205,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2018-2019,Survival rate,0.643597,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Kidney,Cancer type,Pair year,2020-2021,Survival rate,0.662108,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,1998-1999,Survival rate,0.375598,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2000-2001,Survival rate,0.497479,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2002-2003,Survival rate,0.561023,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2004-2005,Survival rate,0.6041,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2006-2007,Survival rate,0.557117,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2008-2009,Survival rate,0.582233,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2010-2011,Survival rate,0.55441,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2012-2013,Survival rate,0.528274,NA,NA,NA
Cancer Survival rates,5-year cancer survival rate,Cancer Control Agency and Health NZ,Leukaemia,Cancer type,Pair year,2014-2015,Survival rate,0.558266,NA,NA,NA
